Days,PercentMoving,Error,Label
4,0.175361683,0.03449346,New
6,1.361440492,0.09773362,New
8,2.003561888,0.09568998,New
10,11.72194457,0.4739291,New
12,13.94750386,0.8873183,New
14,10.76555024,0.6558202,New
16,8.646112601,0.6531067,New
18,7.410124725,0.4656715,New
20,4.675118859,0.3294461,New
22,4.073150457,0.2997133,New
4,0.175361683,0.03449346,Cumulative
6,1.53441473,0.09773362,Cumulative
8,3.507233669,0.09568998,Cumulative
10,14.81806225,0.4739291,Cumulative
12,26.69881631,0.8873183,Cumulative
14,34.59009206,0.6558202,Cumulative
16,40.24550636,0.6531067,Cumulative
18,44.67338886,0.4656715,Cumulative
20,47.2599737,0.3294461,Cumulative
22,49.40815432,0.2997133,Cumulative