CircMean1,CircMean2,CircMean 3,CircMean 4,CircMedian1,CircMedian2,CircMedian3,CircMedian4,CircSize1,CircSize2,CircSize3,CircSize4,CircSizeP1,CircSizeP2,CircSizeP3,CircSizeP4
7.5483761,11.087808,10.9502614,8.31721,2.52822765,7.7892705,7.0053275,5.3238651,307,1793,2101,1639,0.09584764,0.5597877,0.6559475,0.5117078
14.6535624,18.1896743,18.9183767,7.6328267,8.6468048,11.7468275,15.8088834,3.8551288,2184,2308,2448,494,0.6286701,0.6643638,0.7046632,0.1421992
4.1879823,7.13463531,3.24064105,6.37817285,1.9136536,5.43756763,1.42792092,4.27872135,1998,500,518,310,0.2313571,0.05789717,0.05998147,0.03589625
22.0667912,45.8562461,19.0807707,35.1626828,12.3666995,44.5071591,18.2474546,32.5582536,493,279,459,539,0.3836576,0.2171206,0.3571984,0.4194553
15.3772953,20.3699334,12.0622692,13.31588416,10.5964851,17.4091755,8.156867,10.79476135,9614,12276,9238,34,0.7138402,0.9114939,0.6859222,0.002524503
17.4294064,12.574819,11.5847472,15.2324595,14.6203425,10.7037863,9.6044398,12.6162977,3053,1355,955,3717,0.3945974,0.1751325,0.1234329,0.4804188
9.9914678,10.5575307,8.514775,6.0347292,7.8885689,7.6973933,5.9307449,1.4649699,5447,6275,5865,1053,0.5378691,0.6196307,0.5791449,0.1039795
7.2443957,8.7268407,11.535694,11.4931797,4.0377412,5.6922237,9.3284816,8.7622082,3115,1543,3873,3131,0.3423453,0.1695791,0.4256512,0.3441037
20.7260462,14.777212,6.8751315,36.6412533,15.4680726,8.271468,3.1793548,29.4817584,15514,7516,2098,9910,0.9185317,0.444997,0.1242155,0.5867377
19.3282383,8.2413139,6.400349,11.14628,18.2423954,4.7243388,2.448577,9.592452,8996,5568,2940,8172,0.8314233,0.5146026,0.271719,0.755268
24.495136,24.883718,8.4313895,13.1941687,17.1041435,18.4926265,5.9933171,7.6201265,2982,1966,860,1102,0.4693107,0.3094114,0.1353478,0.1734341
15.4920452,7.5833776,9.4847079,8.88523616,13.6760183,5.7061206,7.797581,6.16980527,2646,1960,1156,662,0.3814879,0.2825836,0.1666667,0.09544406
4.5868164,5.24163709,4.9284106,4.0098005,1.7540838,2.123820165,2.1727384,2.0929682,2030,24,3980,5108,0.2031219,0.002401441,0.3982389,0.5111067
9.6023193,7.7086062,6.9977493,12.2214054,7.4621521,5.0704191,4.3787424,9.5186165,1656,576,990,1622,0.3036304,0.1056106,0.1815182,0.2973964
1.86813367,1.8608674,1.9423077,1.85630345,0.80288135,0.7392088,0.7887997,0.75663676,2017,3655,4523,1719,0.060623366,0.1098554,0.1359442,0.05166662