CircMean1,CircMean2,CircMean 3,CircMean 4,BilatStatMedian1,BilatStatMedian2,BilatStatMedian3,BilatStatMedian4,Dstat1,Dstat2,Dstat3,Dstat4,Diff/Tot1,Diff/Tot2,Diff/Tot3,Diff/Tot4
0.003261722,0.93539557,0.18948631,1.234602503,0.047259022,1.997541824,0.22442148,1.24934316,0.053910068,0.177638219,0.10592479,0.142504742,0.089788187,0.083290282,0.005820561,0.104965272
1.94125455,1.26919616,2.111192,0.66199943,2.41573967,0.17829686,2.30969001,0.73360108,0.13249598,0.15832995,0.17470672,0.13292716,0.1416471,0.09394177,0.04213171,0.14270417
1.168446627,0.301616426,0.057198291,0.624854151,1.824757895,1.294409988,0.738553389,0.44395468,0.163068687,0.1199934,0.105407001,0.074422422,0.081618145,0.064821703,0.008447817,0.079799633
1.09010571,4.15314747,2.79245884,0.1901423,4.28710906,10.55775261,6.84684431,1.00842283,0.13997315,0.23878413,0.1426148,0.10457647,0.15983321,0.10373032,0.01425382,0.11120537
9.22871051,0.87196371,7.96688244,12.76508468,9.48426977,3.09683487,4.08927178,12.18672429,0.34725629,0.12955886,0.26851124,0.42116766,0.02048097,0.029749,0.01497232,0.04204756
4.52111979,0.76326195,2.23664463,3.88408133,3.31696263,1.05246859,2.3122299,2.54362082,0.16733326,0.15298312,0.18278825,0.17592195,0.09755293,0.02924859,0.0354095,0.06731419
0.712874661,0.903962276,1.581953577,2.359977532,0.360714586,0.79961992,1.65468675,2.450090048,0.053518109,0.124524906,0.173821424,0.259584128,0.004569662,0.009240126,0.007207298,0.034894075
1.232928097,2.000567156,0.345863946,0.231438993,1.073153722,0.761588005,1.072612684,0.155362261,0.1474714,0.229390698,0.209332529,0.232651153,0.067348584,0.045139951,0.005378436,0.043361036
12.43847257,11.83353352,2.58692439,12.57622513,15.24795993,14.96035556,0.31005556,14.61137978,0.31713717,0.3389799,0.14851579,0.31147499,0.3630606,0.20095086,0.06524724,0.09923107
3.62003976,1.67155209,1.66136916,2.20490914,4.17210809,2.47453173,1.03498263,2.899646,0.28791073,0.14774844,0.10402783,0.18252861,0.09318252,0.06265389,0.00350319,0.09439899
0.44134923,0.658604839,0.597644491,0.592363334,0.90089755,0.766815347,0.011891585,0.262946553,0.165223852,0.132920213,0.150769208,0.176497003,0.130337674,0.112262402,0.005560736,0.070792894
0.31056998,0.02691015,1.56197205,0.61597684,2.33957308,0.23974702,2.18438035,1.71225118,0.16923042,0.13938018,0.15894849,0.15047315,0.25439505,0.21106037,0.01938943,0.17103901
0.88050823,1.53219436,2.06185176,0.27311241,1.06711715,3.97243941,1.97554563,0.27236194,0.09641639,0.29356625,0.15224466,0.05741104,0.28350128,0.16062104,0.02153373,0.23945581
2.168302719,1.774682973,1.065606265,0.30235144,0.496682815,1.360017399,1.647742025,2.75100762,0.21606664,0.194965471,0.091625006,0.176493634,0.168370427,0.11574838,0.000160985,0.127158208
0.09529805,1.99997277,0.78364913,0.17804991,0.96531324,1.4989672,0.57383348,1.33362016,0.12385615,0.13801991,0.08686023,0.13622121,0.15100996,0.14445079,0.04884593,0.13187905